-2574,2740,302
-4010,-4182,-7944
8243,-5632,-6551
771,-2966,6648
2447,-1953,-884
-5197,567,-6332
2556,-8570,1188
8044,1046,-248
3314,2211,3902
3617,1572,-2171
6065,-2503,-3782
-2817,-1899,-3510
3131,3183,6203
6318,-6187,-636
2186,3330,-4605
-113,3492,4497
629,-464,3187
-2582,-2104,-6278
-37,316,1198
-1520,8136,-7963
164,470,7647
2055,50,-3022
-5936,466,-8267
5912,-1424,7995
1717,5809,-1998
5988,2131,-4171
4781,6418,730
5757,-3018,-8117
892,6002,-1706
-4394,-8379,7601
8034,1433,-2454
2213,1144,-6161
-1080,2124,-1810
-2080,1624,243
5364,-602,-2841
106,-5518,-5377
2657,5872,2985
566,870,2328
3940,-5175,177
-5116,-3961,5622
4583,-427,3596
1806,-6284,3057
6555,2850,2830
2621,481,-1151
-7197,6175,6566
528,141,2254
1626,-766,6972
18,-1897,-3060
1049,-748,4063
6243,-4248,367
3198,366,84
4397,4823,3156
-1325,3003,3880
9087,1778,-1530
936,3256,5272
-6291,2182,1385
662,2253,-565
-178,5076,-1736
135,5540,1267
-3473,-2650,-3863
-2385,2451,-229
-165,-1875,2072
1713,5482,2423
-7949,-6881,-7449
-4234,-329,9555
1138,-969,2844
2212,-8032,-1278
104,-2093,-3613
6968,612,-919
-3632,1524,4153
3801,-5492,-4232
1137,5758,4032
-1296,-7401,-5732
-1215,-5039,199
4272,3241,4792
6223,6338,2498
-5922,3581,-3344
-7723,4321,-4193
7044,-1072,2650
-2938,4942,-579
-8180,2131,3416
1356,210,-3575
1159,-7045,1822
-4022,-7514,-6936
-3713,7450,-2661
1158,-1142,-1873
-8715,-2666,414
-4081,-4485,2314
-2541,-639,6844
-2555,2121,7613
-2284,-5298,-7844
461,-3805,6680
940,-1686,5974
6604,-2520,2208
-3631,-1680,-3597
3802,2321,6302
-2037,-4617,4396
-4354,-1961,-141
-1213,2076,-1864
767,7309,1939
-4619,2266,-2596
2209,2530,-858
-7862,481,-2040
-3195,203,4980
5676,1289,5915
4553,5307,-744
-784,-1328,2107
-2010,-4329,-2565
-3046,5401,-3527
1566,6352,24
-1562,2410,2430
1021,-5994,1942
2943,-1825,1246
-7241,-8731,-8103
3847,-1917,-3588
3222,1126,1762
3001,-6189,-1975
-1731,1290,-4052
-4889,2701,-2843
2544,-1426,781
-7893,-2867,230
-1142,3269,3877
7523,3902,-6604
7559,-6483,3513
867,3591,6904
-4088,-313,-1993
2001,-53,-516
-2532,8749,-4908
-4488,-742,2714
-8557,8649,1288
5088,-276,-4599
-7906,2687,1281
-2104,834,-2047
-1911,3887,-2705
-1048,2743,-3246
1886,-625,8467
5500,-4357,-1460
-890,-5245,226
1386,-858,-5227
-2080,-1519,-6338
1431,1635,-3984
-1607,-3765,-5094
5808,-318,6312
-8107,-4702,4502
4418,-2618,-2448
450,-1070,-3217
1261,5750,-6147
-3869,743,-752
-1184,2086,5938
418,-927,1933
2413,9357,-4498
-6418,1359,6788
4607,5569,-407
4059,-1483,-2946
-444,3141,4987
7821,-685,-3366
-2605,-1718,-7439
-2241,-5255,-530
-1390,363,1666
3047,2403,-1079
-1588,1298,4508
8529,861,-2868
1116,4910,518
4085,-5958,-5588
4512,6316,729
4008,-4404,-1388
4242,1294,-7851
6382,3274,-5506
-1824,5661,2141
2455,3305,3110
-9217,-5349,2790
6014,4768,1178
-2490,-7717,5286
-7241,3969,451
-845,742,-5705
9680,-1184,7100
-3756,-246,2334
-5569,3193,1084
3402,5956,-5854
4704,-8664,-4476
-6267,2275,1077
-2393,2207,-3918
3191,-2697,5448
-965,3871,334
-5042,-5330,-5068
-6951,-2132,7145
-6184,2420,-3070
-8752,3590,6044
525,2387,-7056
2144,2655,6598
6195,-431,-7050
541,3285,-2211
-3336,1501,-221
6904,-5325,-2611
-3130,-2364,-6513
-3261,1373,1332
-4770,-1288,-4269
-34,-2344,3093
-1991,-3866,4146
292,1900,3059
3703,1344,6718
4590,956,-2091
7406,-4801,6159
2272,4531,-17
5190,-2655,4283
-5336,-445,6661
-1521,-4408,-3620
4381,4560,-262
-1579,5290,5593
4700,4057,4798
269,8701,-2710
-1059,-7095,588
-2249,-5622,3442
-166,693,-1605
-2553,6537,6995
-1098,-3890,1419
-6839,-5566,-3752
-4172,1320,4151
303,1737,-775
7838,-3659,1743
256,5906,8053
-931,3417,-610
-5243,-2437,3336
-51,1392,-8303
267,-131,-1474
-3432,89,-7939
2351,-2099,-5693
58,-5319,2041
49,-1978,-7040
5963,68,738
253,-2737,2745
3616,5251,4164
-7918,2690,-7728
-4486,7709,-5379
1256,786,4879
-3305,7770,76
-5528,6821,-6994
-5891,-7008,3534
3779,-5769,2567
-4004,-7469,-7585
950,3990,-2671
-8741,-8478,-2073
1864,-6015,3286
-1158,-4548,4442
871,-1605,3034
-2899,-5469,8872
5178,-2939,145
3183,-1925,43
-784,4862,3540
-7603,-1127,-1930
-984,1094,1872
-2407,-2431,-6268
-3411,-1161,-2110
-1467,-2970,7845
4295,4346,-7177
1271,-3273,643
-778,-3599,750
-2478,-2894,1146
-2442,-4295,2979
4041,3966,-3460
-1031,4247,2415
1999,2832,-8453
973,-5319,-2055
-3647,3330,-2192
3312,9700,8803
-4773,-6437,3248
2333,1412,-1048
-719,-5513,-8541
-4644,711,1455
1092,-5719,1072
-4944,-3341,2854
4525,2729,5131
3831,-4146,-2459
4107,5590,469
-1816,1809,2134
4407,-1026,-2915
-6907,-5673,-147
-593,-6280,-2487
-3613,-1127,4895
-8122,-233,6207
3122,5954,-3191
2754,529,-1096
-44,489,4869
511,7273,2009
-476,1187,2453
536,3495,-8035
-5190,-81,1412
4507,-713,4629
3528,1097,-3549
-236,5724,-5354
2492,1048,-498
8688,-773,4827
-8008,-2615,-5903
8074,-4053,-4479
170,8388,-254
-1495,-3865,-6010
7394,2375,-3690
3729,8519,-6211
-9364,-2923,-1625
32,4679,4131
-2159,9015,-369
-4385,3421,9274
2309,2876,-2756
-33,5153,-2114
7063,881,6230
3244,-3742,2426
-769,2171,-6167
-4364,3474,-1484
4416,2172,3898
-3248,-1739,4319
1072,1975,1248
-5013,1185,-91
-5120,-2289,-3945
-3099,-3715,-3348
-6878,9924,-1781
-3406,-4546,-3424
-940,-7052,1742
5078,2811,1749
-3698,-5720,-898
-343,-925,3653
3186,3957,5628
3295,5943,-7441
7153,-6071,3877
4000,-9535,-3097
-884,-2563,-1994
4189,-586,2658
-2157,-1616,-1850
71,3667,2712
4328,713,-5206
1020,2577,6243
6166,-2219,3151
-1053,-1651,8092
1928,1734,-2466
-2323,413,-1860
-4461,-7118,-4265
-7675,-196,680
647,-927,3395
-1331,3529,-6203
-4995,5073,8384
2529,-1050,8737
-5159,1931,-4830
-864,8154,-712
-767,-3634,-798
-7490,2330,1150
-5511,131,1277
-5163,-3856,1313
-1485,-602,1920
5841,2112,7431
5197,4123,-4242
2159,4979,-2803
-1230,-2570,-4106
-3279,-3911,-2283
8196,4981,-1718
-1884,-2235,-5113
1540,4350,6103
-25,7679,2768
341,4404,-5859
342,-6768,-7041
3993,4669,3154
1052,-4075,-6027
-5887,4716,4254
-2900,5736,612
-1078,-6476,3277
-3975,-4506,3342
-2384,-1134,5163
-2723,5257,7670
-5255,6677,-1672
1596,-3319,3513
-5417,-9571,-963
384,7401,-5419
-4494,513,-4214
-4914,-4598,-2253
4367,3605,-6331
6558,-6602,2421
871,-7955,-1243
-5553,3201,-69
1950,3216,2475
6561,103,2889
-3865,-1089,5973
-1749,-2754,4576
-2064,4713,-5500
1780,-2,-1691
2214,-630,1787
5699,329,6819
-1443,4169,4412
4225,1187,-8371
5653,2310,6181
-3386,870,2423
5668,-1716,2503
6535,-2598,-3575
-1381,7244,4761
1446,2909,7773
-3251,4382,-5309
1970,-2004,-3105
-1096,-5693,-1244
1268,-3883,-119
4906,413,-7481
-5583,7952,-2136
-72,4261,-4978
-2219,-4215,6385
-1130,-5050,3156
-1612,7874,-5220
732,-1507,6040
-6692,-7169,-4454
2995,7192,-606
-980,-6007,-6281
-4014,-986,-86
798,3799,6250
7262,-3035,-350
2075,-1835,1379
5981,-1538,377
3826,857,8009
-2723,-5284,-2030
-6061,-2131,5084
6636,99,-3218
-3409,1797,961
4270,1521,4019
1624,-3788,-7215
-507,-2190,-5889
-6083,37,-4134
-4903,-921,3091
-7234,1923,-6946
1722,-3893,2968
1254,4621,4112
2237,-287,-3896
-4372,-642,-4908
6114,128,-414
4675,216,-2290
3798,6373,-398
-904,-1501,-1278
1088,-4366,5818
880,7115,-704
-6492,-7366,-4249
2681,-5051,4393
686,-989,-855
-2807,1237,2134
724,-7306,2345
-3478,-60,-6820
-5423,7272,2673
1563,4124,108
426,1377,2802
1378,328,-3217
-1947,-1947,5132
2565,2944,-2268
3219,4134,-3835
8637,-1409,7525
2034,-384,879
-603,490,142
5334,7037,-2898
311,2837,-1645
-6940,848,-108
1885,-4819,-6901
-1373,6787,-4094
-963,6796,2848
-6699,1260,7778
476,1059,2990
577,708,-1506
-1925,-178,-4797
550,988,-4233
6246,-2209,-3173
4291,-3252,-3590
1314,-3103,244
-1776,796,715
893,672,2247
-1502,3482,-3178
3264,-1374,3420
-4634,2069,5102
-3258,-9381,7511
7555,109,2523
9062,1239,806
-3355,6819,-2967
6742,4175,1506
1441,-3546,1930
4470,-3408,-899
-7647,7683,240
4468,3508,3744
-4237,2965,-913
-4125,-7834,5629
-1592,-2077,4077
